neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,Survived
2,2,5,88,1,210
1,6,2,231,1,1000
6,74,2,231,1,199
33,35,2,0,0,100
26,0,30,156,1,308
44,1,2,11,1,200
14,0,30,263,1,374
8,30,1,49,0,129
20,0,1,0,1,90
6,1,30,191,1,132
12,1,5,0,0,80
12,0,5,213,1,199
29,25,2,2,1,175
34,0,14,192,0,80
7,0,1,333,0,209
6,4,1,365,0,40
136,65,5,328,0,40
15,10,2,22,0,40
2,2,3,0,0,94
79,88,2,65,1,170
21,0,1,0,2,20
3,3,14,0,1,160
2,2,1,0,0,115
19,19,6,0,1,200
4,74,2,243,1,289
1,0,2,0,1,299
7,45,1,322,0,125
112,19,1,350,0,47
7,0,1,0,1,150
12,21,3,0,1,170
30,26,2,24,0,50
87,0,1,106,0,55
6,1,30,249,0,70
28,6,2,0,1,100
8,7,3,52,1,100
20,0,1,365,0,199
12,1,10,0,0,66
100,0,1,360,1,125
10,2,5,0,1,120
31,0,29,30,0,35
1,0,30,364,1,385
113,8,31,138,1,97
6,39,3,0,0,90
19,16,1,70,1,158
12,1,1,0,0,45
8,5,7,0,0,70
39,3,30,251,0,39
30,0,1,1,0,75
44,0,2,0,1,275
1,2,2,0,0,300
6,0,1,177,0,150
54,232,1,231,1,165
7,1,30,327,1,202
15,6,2,2,1,185
44,14,18,141,1,170
56,0,4,114,0,100
19,1,30,359,1,312
7,3,3,0,0,160
22,1,2,4,1,89
83,78,6,30,1,69
15,2,10,0,0,60
10,2,7,0,1,190
0,4,3,321,1,299
6,30,6,21,0,45
11,0,1,0,1,240
4,18,3,0,1,150
4,1,5,0,0,60
2,4,4,0,1,100
134,9,2,0,0,77
14,3,4,15,1,175
7,27,1,133,1,175
21,5,2,0,2,42
28,11,30,126,1,133
29,5,6,0,1,100
3,2,1,365,1,999
16,2,7,0,0,40
13,2,4,193,0,150
6,12,7,0,0,150
12,1,3,0,0,75
37,21,1,362,0,80
6,3,2,358,0,175
139,82,3,327,1,149
12,11,3,0,0,46
99,0,1,88,1,150
19,0,3,365,0,250
99,9,1,257,1,60
4,1,1,0,1,250
14,0,1,0,0,81
25,17,2,72,0,150
7,3,2,0,1,200
34,1,30,311,0,95
11,2,3,0,1,115
8,10,2,0,1,169
12,1,1,0,0,59
12,2,2,7,0,75
6,42,4,91,1,130
200,0,3,177,0,38
100,3,1,365,0,120
28,1,3,0,1,125
56,18,5,363,1,135
19,28,1,178,1,128
80,19,3,67,0,45
54,48,59,122,1,104
6,17,4,9,0,75
117,0,1,85,2,50
2,49,3,203,0,59
1,2,4,178,1,375
3,80,5,92,1,325
12,9,4,36,0,80
26,0,2,0,1,200
7,9,1,267,1,195
21,13,2,0,0,45
30,1,3,0,0,33
9,0,4,36,1,146
12,220,1,100,0,88
28,160,2,248,1,139
12,0,30,87,0,55
6,128,2,93,1,195
25,0,3,13,1,180
31,1,30,209,0,60
12,0,1,0,0,65
8,1,30,74,1,140
2,2,3,0,1,100
31,2,1,0,0,46
25,0,5,15,1,150
30,50,1,90,0,45
12,45,2,249,1,275
13,2,4,34,1,160
19,0,1,0,1,195
12,0,30,333,0,72
6,13,1,365,2,39
6,0,2,7,1,75
1,10,2,0,0,95
49,77,1,145,0,50
6,0,2,164,0,170
18,0,7,0,0,50
15,0,7,0,0,50
24,48,5,0,1,79
14,0,1,0,1,300
19,0,2,0,1,350
15,51,1,0,0,65
6,5,1,256,0,90
18,1,3,0,0,50
52,0,1,0,0,100
19,35,1,0,1,275
43,0,30,184,1,229
78,0,4,89,0,54
56,0,3,5,0,78
12,0,7,331,0,40
23,7,3,12,1,300
6,5,1,0,1,100
2,0,1,0,0,25
29,19,4,34,1,275
19,26,2,1,0,95
71,5,2,0,1,145
21,0,2,66,1,150
19,0,2,0,0,250
21,0,3,0,0,55
81,2,1,148,1,130
8,2,2,0,1,250
39,4,4,25,0,70
44,13,3,65,0,30
1,33,5,36,1,399
20,21,6,42,1,195
17,0,3,0,0,70
9,15,2,0,1,250
44,3,1,0,0,45
15,0,1,0,0,60
19,1,30,357,1,245
14,0,29,64,1,170
8,14,30,135,1,99
6,24,5,215,1,190
31,3,2,0,0,55
22,18,1,0,0,47
14,20,90,219,1,139
5,13,2,0,1,300
12,1,7,0,1,90
2,0,30,44,0,39
16,1,5,27,1,150
8,11,30,365,1,199
76,207,2,287,1,145
46,2,2,180,0,88
11,32,5,41,1,179
6,37,28,70,1,120
6,75,1,285,0,55
19,18,2,363,1,450
